Time,Amplitude
0.0,0.5203239015027158
0.001,0.9441869885858181
0.002,0.3110875272662087
0.003,0.38741576988161963
0.004,0.7500196018636908
0.005,0.23798805689493152
0.006,0.6745269010922119
0.007,0.36706982209568617
0.008,0.9457459590637918
0.009,0.12674345776374096
0.01,0.28293272751393106
0.011,0.8201968109608411
0.012,0.7044707555118982
0.013,0.4751397515995589
0.014,0.44697434837657024
0.015,0.3894185446856935
0.016,0.5876600446778615
0.017,0.32387803079758903
0.018,0.42694733697562615
0.019,0.48567580319155723
0.02,0.9041380536871416
0.021,0.9114311861931265
0.022,0.8152551371064315
0.023,0.07981417513362021
0.024,0.5565617853575724
0.025,0.7416680140649391
0.026,0.47759170789502847
0.027,0.5470524031987243
0.028,0.7807072115428928
0.029,0.9247751346997736
0.03,0.24206805392093422
0.031,0.10703126238835403
0.032,0.632736556610035
0.033,0.19517216937960769
0.034,0.36409933326118016
0.035,0.1353816655092409
0.036,0.30476649695364855
0.037,0.4015797826591938
0.038,0.7444714994660641
0.039,0.3173695180554892
0.04,0.8546602075092337
0.041,0.11722838596225915
0.042,0.05427942557749743
0.043,0.6245549147385232
0.044,0.37550612070866096
0.045,0.4903447645671971
0.046,0.838658990329827
0.047,0.4474947346208584
0.048,0.6574185437226897
0.049,0.45101304691779887
0.05,0.832060555501218
0.051,0.3132974515335989
0.052,0.4621761159456804
0.053,0.5322654669879836
0.054,0.791073453963094
0.055,0.9945680506715737
0.056,0.9242426219912858
0.057,0.7828224030118885
0.058,0.2588116707445782
0.059,0.5864184330141312
0.06,0.32952005808929874
0.061,0.9364849179886287
0.062,0.304507341123162
0.063,0.2789596144248476
0.064,0.9271169997840745
0.065,0.6220215958478715
0.066,0.34882918417133724
0.067,0.749686569188697
0.068,0.20925386579683491
0.069,0.40358661047248934
0.07,0.7958248268969325
0.071,0.49515989131165694
0.072,0.8888034893345922
0.073,0.9018786359125105
0.074,0.7652475548510261
0.075,0.8148458158028509
0.076,0.18202894485062704
0.077,0.09600785837415637
0.078,0.5997473181987216
0.079,0.17624569744420515
0.08,0.03032234005041745
0.081,0.6469410571922468
0.082,0.5211433264174706
0.083,0.3170950521276098
0.084,0.748093502442165
0.085,0.20201446061933315
0.086,0.21574258943569002
0.087,0.5122072667268565
0.088,0.1909996287279252
0.089,0.5343818750939243
0.09,0.10908117206659684
0.091,0.5763989310439677
