Time,Amplitude
0.0,0.2
0.001,0.19901414297427494
0.002,0.1960697862443109
0.003,0.19120637366169402
0.004,0.18448898411724945
0.005,0.1760073510670101
0.006,0.1658745113309663
0.007,0.15422510422147095
0.008,0.14121334750228604
0.009000000000000001,0.1270107217067088
0.01,0.1118033988749895
0.011,0.09578945573615141
0.012,0.07917591469507249
0.013000000000000001,0.06217565863993753
0.014,0.04500426751629652
0.015,0.027876825791752578
0.016,0.011004750341392387
0.017,-0.005407312087728169
0.018000000000000002,-0.021164469818361717
0.019,-0.03608440747367332
0.02,-0.049999999999999996
0.021,-0.06276167928790088
0.022,-0.07423951713025266
0.023,-0.08432499275643268
0.024,-0.09293241817851647
0.025,-0.1
0.026000000000000002,-0.10549052208437913
0.027,-0.10939163946929353
0.028,-0.11171578004739761
0.029,-0.11249965672087185
0.03,-0.1118033988749895
0.031,-0.10970931801060896
0.032,-0.10632032813137623
0.033,-0.10175804690807118
0.034,-0.0961606086544069
0.035,-0.08968022466674207
0.036000000000000004,-0.08248053043344145
0.037,-0.07473376254580025
0.038,-0.06661781078920985
0.039,-0.058313192819006494
0.04,-0.05000000000000002
0.041,-0.04185486339369425
0.042,-0.03404798850648668
0.043000000000000003,-0.02674030627173296
0.044,-0.02008078584668402
0.045,-0.014203952192020614
0.046,-0.009227648108476746
0.047,-0.005251076484043729
0.048,-0.0023531540185846717
0.049,-0.000591202711379385
0.05,0.0
0.051000000000000004,-0.0005912027113793711
0.052000000000000005,-0.0023531540185846855
0.053,-0.005251076484043701
0.054,-0.009227648108476733
0.055,-0.014203952192020614
0.056,-0.02008078584668399
0.057,-0.02674030627173299
0.058,-0.034047988506486715
0.059000000000000004,-0.04185486339369427
0.06,-0.04999999999999998
0.061,-0.05831319281900646
0.062,-0.06661781078920984
0.063,-0.07473376254580016
0.064,-0.08248053043344146
0.065,-0.08968022466674204
0.066,-0.09616060865440697
0.067,-0.10175804690807119
0.068,-0.10632032813137626
0.069,-0.10970931801060896
0.07,-0.11180339887498948
0.07100000000000001,-0.11249965672087185
0.07200000000000001,-0.11171578004739761
0.073,-0.10939163946929356
0.074,-0.10549052208437917
0.075,-0.10000000000000002
0.076,-0.09293241817851652
0.077,-0.08432499275643268
0.078,-0.07423951713025276
0.079,-0.06276167928790086
0.08,-0.050000000000000044
0.081,-0.03608440747367328
0.082,-0.021164469818361717
0.083,-0.005407312087728003
0.084,0.011004750341392443
0.085,0.027876825791752508
0.08600000000000001,0.045004267516296596
0.08700000000000001,0.06217565863993752
0.088,0.07917591469507237
0.089,0.09578945573615119
0.09,0.11180339887498944
0.091,0.12701072170670863
0.092,0.14121334750228604
0.093,0.15422510422147084
0.094,0.1658745113309663
0.095,0.17600735106701007
0.096,0.1844889841172495
0.097,0.19120637366169402
0.098,0.19606978624431087
0.099,0.19901414297427494
0.1,0.2
0.101,0.19901414297427494
0.10200000000000001,0.19606978624431093
0.10300000000000001,0.19120637366169396
0.10400000000000001,0.18448898411724945
0.105,0.17600735106701015
0.106,0.16587451133096642
0.107,0.15422510422147095
0.108,0.14121334750228612
0.109,0.12701072170670877
0.11,0.11180339887498955
0.111,0.09578945573615133
0.112,0.07917591469507251
0.113,0.062175658639937646
0.114,0.04500426751629649
0.115,0.02787682579175265
0.116,0.011004750341392332
0.117,-0.005407312087728107
0.11800000000000001,-0.021164469818361807
0.11900000000000001,-0.036084407473673384
0.12,-0.04999999999999994
0.121,-0.06276167928790075
0.122,-0.07423951713025266
0.123,-0.08432499275643263
0.124,-0.09293241817851647
0.125,-0.09999999999999998
0.126,-0.10549052208437908
0.127,-0.10939163946929353
0.128,-0.11171578004739763
0.129,-0.11249965672087184
0.13,-0.1118033988749895
0.131,-0.10970931801060899
0.132,-0.1063203281313762
0.133,-0.10175804690807116
0.134,-0.09616060865440693
0.135,-0.08968022466674211
0.136,-0.08248053043344131
0.137,-0.07473376254580011
0.138,-0.06661781078920977
0.139,-0.058313192819006474
0.14,-0.050000000000000044
0.14100000000000001,-0.04185486339369411
